protein_id,length,n_homologs,mode,n_homologs_used,n_homologs_avail,p,K,drafter_accuracy,mean_accepted,mean_tokens_per_step,acceptance_rate,n_steps,ref_source
A0A0K1IRS6,855,16,prefix,16,64,1,2,0.8117,1.4812,2.4783,0.7406,345,query_3di
A0A0K1IRS6,855,16,prefix,16,64,1,4,0.8117,2.4797,3.4756,0.6205,246,query_3di
A0A0K1IRS6,855,16,prefix,16,64,1,8,0.8117,3.3673,4.3622,0.4225,196,query_3di
A0A0K1IRS6,855,16,prefix,16,64,1,12,0.8117,3.7556,4.75,0.314,180,query_3di
A0A0K1IRS6,855,16,prefix,16,64,1,16,0.8117,3.9767,4.9709,0.2486,172,query_3di
A0A0K1IRS6,855,16,prefix,16,64,2,1,0.931,0.941,1.9388,0.941,441,query_3di
A0A0K1IRS6,855,16,prefix,16,64,2,2,0.931,1.785,2.785,0.8925,307,query_3di
A0A0K1IRS6,855,16,prefix,16,64,2,4,0.931,3.1961,4.1912,0.801,204,query_3di
A0A0K1IRS6,855,16,prefix,16,64,2,8,0.931,5.6875,6.6797,0.7123,128,query_3di
A0A0K1IRS6,855,16,prefix,16,64,2,12,0.931,7.1524,8.1429,0.5975,105,query_3di
A0A0K1IRS6,855,16,prefix,16,64,2,16,0.931,8.8391,9.8276,0.5581,87,query_3di
A0A0K1IRS6,855,16,prefix,16,64,4,1,0.9474,0.9455,1.9432,0.9455,440,query_3di
A0A0K1IRS6,855,16,prefix,16,64,4,2,0.9474,1.8405,2.8405,0.9203,301,query_3di
A0A0K1IRS6,855,16,prefix,16,64,4,4,0.9474,3.4583,4.4531,0.8668,192,query_3di
A0A0K1IRS6,855,16,prefix,16,64,4,8,0.9474,5.9593,6.9512,0.7464,123,query_3di
A0A0K1IRS6,855,16,prefix,16,64,4,12,0.9474,8.0105,9.0,0.6693,95,query_3di
A0A0K1IRS6,855,16,prefix,16,64,4,16,0.9474,9.439,10.4268,0.5963,82,query_3di
A0A0K1IRS6,855,16,prefix,16,64,8,1,0.9485,0.9367,1.9344,0.9367,442,query_3di
A0A0K1IRS6,855,16,prefix,16,64,8,2,0.9485,1.8405,2.8405,0.9203,301,query_3di
A0A0K1IRS6,855,16,prefix,16,64,8,4,0.9485,3.4352,4.4301,0.861,193,query_3di
A0A0K1IRS6,855,16,prefix,16,64,8,8,0.9485,6.1333,7.125,0.7683,120,query_3di
A0A0K1IRS6,855,16,prefix,16,64,8,12,0.9485,8.2043,9.1935,0.6855,93,query_3di
A0A0K1IRS6,855,16,prefix,16,64,8,16,0.9485,9.439,10.4268,0.5963,82,query_3di
A0A0K1IRS6,855,16,prefix,16,64,12,1,0.9532,0.9455,1.9432,0.9455,440,query_3di
A0A0K1IRS6,855,16,prefix,16,64,12,2,0.9532,1.85,2.85,0.925,300,query_3di
A0A0K1IRS6,855,16,prefix,16,64,12,4,0.9532,3.4817,4.4764,0.8727,191,query_3di
A0A0K1IRS6,855,16,prefix,16,64,12,8,0.9532,6.3162,7.3077,0.7912,117,query_3di
A0A0K1IRS6,855,16,prefix,16,64,12,12,0.9532,8.4066,9.3956,0.7025,91,query_3di
A0A0K1IRS6,855,16,prefix,16,64,12,16,0.9532,9.7,10.6875,0.613,80,query_3di
A0A0K1IRS6,855,16,prefix,16,64,16,1,0.9567,0.9499,1.9476,0.9499,439,query_3di
A0A0K1IRS6,855,16,prefix,16,64,16,2,0.9567,1.8788,2.8788,0.9394,297,query_3di
A0A0K1IRS6,855,16,prefix,16,64,16,4,0.9567,3.5053,4.5,0.8786,190,query_3di
A0A0K1IRS6,855,16,prefix,16,64,16,8,0.9567,6.4435,7.4348,0.8072,115,query_3di
A0A0K1IRS6,855,16,prefix,16,64,16,12,0.9567,8.4066,9.3956,0.7025,91,query_3di
A0A0K1IRS6,855,16,prefix,16,64,16,16,0.9567,10.2632,11.25,0.6489,76,query_3di
A0A0K1IRS6,855,32,static,32,64,,1,0.2456,0.2317,1.2302,0.2317,695,query_3di
A0A0K1IRS6,855,32,static,32,64,,2,0.2456,0.2742,1.2742,0.1371,671,query_3di
A0A0K1IRS6,855,32,static,32,64,,4,0.2456,0.2955,1.2955,0.0739,660,query_3di
A0A0K1IRS6,855,32,static,32,64,,8,0.2456,0.3089,1.3073,0.0386,654,query_3di
A0A0K1IRS6,855,32,static,32,64,,12,0.2456,0.3149,1.3134,0.0262,651,query_3di
A0A0K1IRS6,855,32,static,32,64,,16,0.2456,0.3169,1.3154,0.0198,650,query_3di
A0A0K1IRS6,855,32,prefix,32,64,1,1,0.7953,0.8488,1.8467,0.8488,463,query_3di
A0A0K1IRS6,855,32,prefix,32,64,1,2,0.7953,1.4457,2.4429,0.7229,350,query_3di
A0A0K1IRS6,855,32,prefix,32,64,1,4,0.7953,2.3178,3.314,0.58,258,query_3di
A0A0K1IRS6,855,32,prefix,32,64,1,8,0.7953,3.0762,4.0714,0.3859,210,query_3di
A0A0K1IRS6,855,32,prefix,32,64,1,12,0.7953,3.4352,4.4301,0.2871,193,query_3di
A0A0K1IRS6,855,32,prefix,32,64,1,16,0.7953,3.6022,4.5968,0.2252,186,query_3di
A0A0K1IRS6,855,32,prefix,32,64,2,1,0.9158,0.9236,1.9213,0.9236,445,query_3di
A0A0K1IRS6,855,32,prefix,32,64,2,2,0.9158,1.7229,2.7229,0.8615,314,query_3di
A0A0K1IRS6,855,32,prefix,32,64,2,4,0.9158,3.0957,4.0909,0.7758,209,query_3di
A0A0K1IRS6,855,32,prefix,32,64,2,8,0.9158,5.3407,6.3333,0.6688,135,query_3di
A0A0K1IRS6,855,32,prefix,32,64,2,12,0.9158,6.5752,7.5664,0.5492,113,query_3di
A0A0K1IRS6,855,32,prefix,32,64,2,16,0.9158,7.9167,8.9062,0.4993,96,query_3di
A0A0K1IRS6,855,32,prefix,32,64,4,1,0.9322,0.9367,1.9344,0.9367,442,query_3di
A0A0K1IRS6,855,32,prefix,32,64,4,2,0.9322,1.8033,2.8033,0.9016,305,query_3di
A0A0K1IRS6,855,32,prefix,32,64,4,4,0.9322,3.2587,4.2537,0.8167,201,query_3di
A0A0K1IRS6,855,32,prefix,32,64,4,8,0.9322,5.6357,6.6279,0.7058,129,query_3di
A0A0K1IRS6,855,32,prefix,32,64,4,12,0.9322,7.3922,8.3824,0.6175,102,query_3di
A0A0K1IRS6,855,32,prefix,32,64,4,16,0.9322,8.9535,9.9419,0.5653,86,query_3di
A0A0K1IRS6,855,32,prefix,32,64,8,1,0.9392,0.9323,1.93,0.9323,443,query_3di
A0A0K1IRS6,855,32,prefix,32,64,8,2,0.9392,1.8125,2.8125,0.9062,304,query_3di
A0A0K1IRS6,855,32,prefix,32,64,8,4,0.9392,3.3232,4.3182,0.8329,198,query_3di
A0A0K1IRS6,855,32,prefix,32,64,8,8,0.9392,5.7937,6.7857,0.7256,126,query_3di
A0A0K1IRS6,855,32,prefix,32,64,8,12,0.9392,7.8247,8.8144,0.6537,97,query_3di
A0A0K1IRS6,855,32,prefix,32,64,8,16,0.9392,9.0706,10.0588,0.5728,85,query_3di
A0A0K1IRS6,855,32,prefix,32,64,12,1,0.9485,0.941,1.9388,0.941,441,query_3di
A0A0K1IRS6,855,32,prefix,32,64,12,2,0.9485,1.85,2.85,0.925,300,query_3di
A0A0K1IRS6,855,32,prefix,32,64,12,4,0.9485,3.4352,4.4301,0.861,193,query_3di
A0A0K1IRS6,855,32,prefix,32,64,12,8,0.9485,6.1333,7.125,0.7683,120,query_3di
A0A0K1IRS6,855,32,prefix,32,64,12,12,0.9485,8.0105,9.0,0.6693,95,query_3di
A0A0K1IRS6,855,32,prefix,32,64,12,16,0.9485,9.439,10.4268,0.5963,82,query_3di
A0A0K1IRS6,855,32,prefix,32,64,16,1,0.9509,0.9499,1.9476,0.9499,439,query_3di
A0A0K1IRS6,855,32,prefix,32,64,16,2,0.9509,1.8595,2.8595,0.9298,299,query_3di
A0A0K1IRS6,855,32,prefix,32,64,16,4,0.9509,3.4124,4.4072,0.8553,194,query_3di
A0A0K1IRS6,855,32,prefix,32,64,16,8,0.9509,6.1333,7.125,0.7683,120,query_3di
A0A0K1IRS6,855,32,prefix,32,64,16,12,0.9509,8.0105,9.0,0.6693,95,query_3di
A0A0K1IRS6,855,32,prefix,32,64,16,16,0.9509,9.8354,10.8228,0.6216,79,query_3di
A0A0K1IRS6,855,64,static,64,64,,1,0.2456,0.2317,1.2302,0.2317,695,query_3di
A0A0K1IRS6,855,64,static,64,64,,2,0.2456,0.2742,1.2742,0.1371,671,query_3di
A0A0K1IRS6,855,64,static,64,64,,4,0.2456,0.2955,1.2955,0.0739,660,query_3di
A0A0K1IRS6,855,64,static,64,64,,8,0.2456,0.3089,1.3073,0.0386,654,query_3di
A0A0K1IRS6,855,64,static,64,64,,12,0.2456,0.3149,1.3134,0.0262,651,query_3di
A0A0K1IRS6,855,64,static,64,64,,16,0.2456,0.3169,1.3154,0.0198,650,query_3di
A0A0K1IRS6,855,64,prefix,64,64,1,1,0.786,0.8308,1.8308,0.8308,467,query_3di
A0A0K1IRS6,855,64,prefix,64,64,1,2,0.786,1.4113,2.4085,0.7066,355,query_3di
A0A0K1IRS6,855,64,prefix,64,64,1,4,0.786,2.2672,3.2634,0.5684,262,query_3di
A0A0K1IRS6,855,64,prefix,64,64,1,8,0.786,2.963,3.9583,0.3712,216,query_3di
A0A0K1IRS6,855,64,prefix,64,64,1,12,0.786,3.3015,4.2965,0.2752,199,query_3di
A0A0K1IRS6,855,64,prefix,64,64,1,16,0.786,3.4352,4.4301,0.2153,193,query_3di
A0A0K1IRS6,855,64,prefix,64,64,2,1,0.9029,0.9042,1.9042,0.9042,449,query_3di
A0A0K1IRS6,855,64,prefix,64,64,2,2,0.9029,1.6918,2.6887,0.8472,318,query_3di
A0A0K1IRS6,855,64,prefix,64,64,2,4,0.9029,3.0188,4.0141,0.7574,213,query_3di
A0A0K1IRS6,855,64,prefix,64,64,2,8,0.9029,4.9444,5.9375,0.6202,144,query_3di
A0A0K1IRS6,855,64,prefix,64,64,2,12,0.9029,6.3162,7.3077,0.5267,117,query_3di
A0A0K1IRS6,855,64,prefix,64,64,2,16,0.9029,7.1524,8.1429,0.4492,105,query_3di
A0A0K1IRS6,855,64,prefix,64,64,4,1,0.9298,0.9367,1.9344,0.9367,442,query_3di
A0A0K1IRS6,855,64,prefix,64,64,4,2,0.9298,1.785,2.785,0.8925,307,query_3di
A0A0K1IRS6,855,64,prefix,64,64,4,4,0.9298,3.2376,4.2327,0.8114,202,query_3di
A0A0K1IRS6,855,64,prefix,64,64,4,8,0.9298,5.5846,6.5769,0.6994,130,query_3di
A0A0K1IRS6,855,64,prefix,64,64,4,12,0.9298,7.3922,8.3824,0.6175,102,query_3di
A0A0K1IRS6,855,64,prefix,64,64,4,16,0.9298,8.8391,9.8276,0.5581,87,query_3di
A0A0K1IRS6,855,64,prefix,64,64,8,1,0.9392,0.9323,1.93,0.9323,443,query_3di
A0A0K1IRS6,855,64,prefix,64,64,8,2,0.9392,1.8158,2.8125,0.9094,304,query_3di
A0A0K1IRS6,855,64,prefix,64,64,8,4,0.9392,3.3232,4.3182,0.8308,198,query_3di
A0A0K1IRS6,855,64,prefix,64,64,8,8,0.9392,5.848,6.84,0.7317,125,query_3di
A0A0K1IRS6,855,64,prefix,64,64,8,12,0.9392,7.7347,8.7245,0.6506,98,query_3di
A0A0K1IRS6,855,64,prefix,64,64,8,16,0.9392,9.0706,10.0588,0.569,85,query_3di
A0A0K1IRS6,855,64,prefix,64,64,12,1,0.9497,0.941,1.9388,0.941,441,query_3di
A0A0K1IRS6,855,64,prefix,64,64,12,2,0.9497,1.85,2.85,0.925,300,query_3di
A0A0K1IRS6,855,64,prefix,64,64,12,4,0.9497,3.4352,4.4301,0.861,193,query_3di
A0A0K1IRS6,855,64,prefix,64,64,12,8,0.9497,6.1333,7.125,0.7683,120,query_3di
A0A0K1IRS6,855,64,prefix,64,64,12,12,0.9497,8.1064,9.0957,0.6773,94,query_3di
A0A0K1IRS6,855,64,prefix,64,64,12,16,0.9497,9.439,10.4268,0.5963,82,query_3di
A0A0K1IRS6,855,64,prefix,64,64,16,1,0.9509,0.9499,1.9476,0.9499,439,query_3di
A0A0K1IRS6,855,64,prefix,64,64,16,2,0.9509,1.8595,2.8595,0.9298,299,query_3di
A0A0K1IRS6,855,64,prefix,64,64,16,4,0.9509,3.4124,4.4072,0.8553,194,query_3di
A0A0K1IRS6,855,64,prefix,64,64,16,8,0.9509,6.0744,7.0661,0.7609,121,query_3di
A0A0K1IRS6,855,64,prefix,64,64,16,12,0.9509,8.1064,9.0957,0.6773,94,query_3di
A0A0K1IRS6,855,64,prefix,64,64,16,16,0.9509,9.8354,10.8228,0.6216,79,query_3di
A0A1B0GR13,642,4,static,4,64,,1,1.0,1.0,2.0,1.0,321,query_3di
A0A1B0GR13,642,4,static,4,64,,2,1.0,2.0,3.0,1.0,214,query_3di
A0A1B0GR13,642,4,static,4,64,,4,1.0,3.9845,4.9767,1.0,129,query_3di
A0A1B0GR13,642,4,static,4,64,,8,1.0,7.9306,8.9167,1.0,72,query_3di
A0A1B0GR13,642,4,static,4,64,,12,1.0,11.86,12.84,1.0,50,query_3di
A0A1B0GR13,642,4,static,4,64,,16,1.0,15.9211,16.8947,1.0,38,query_3di
A0A1B0GR13,642,4,prefix,4,64,1,1,1.0,1.0,2.0,1.0,321,query_3di
A0A1B0GR13,642,4,prefix,4,64,1,2,1.0,2.0,3.0,1.0,214,query_3di
A0A1B0GR13,642,4,prefix,4,64,1,4,1.0,3.9845,4.9767,1.0,129,query_3di
A0A1B0GR13,642,4,prefix,4,64,1,8,1.0,7.9306,8.9167,1.0,72,query_3di
A0A1B0GR13,642,4,prefix,4,64,1,12,1.0,11.86,12.84,1.0,50,query_3di
A0A1B0GR13,642,4,prefix,4,64,1,16,1.0,15.9211,16.8947,1.0,38,query_3di
A0A1B0GR13,642,4,prefix,4,64,2,1,1.0,1.0,2.0,1.0,321,query_3di
A0A1B0GR13,642,4,prefix,4,64,2,2,1.0,2.0,3.0,1.0,214,query_3di
A0A1B0GR13,642,4,prefix,4,64,2,4,1.0,3.9845,4.9767,1.0,129,query_3di
A0A1B0GR13,642,4,prefix,4,64,2,8,1.0,7.9306,8.9167,1.0,72,query_3di
A0A1B0GR13,642,4,prefix,4,64,2,12,1.0,11.86,12.84,1.0,50,query_3di
A0A1B0GR13,642,4,prefix,4,64,2,16,1.0,15.9211,16.8947,1.0,38,query_3di
A0A1B0GR13,642,4,prefix,4,64,4,1,1.0,1.0,2.0,1.0,321,query_3di
A0A1B0GR13,642,4,prefix,4,64,4,2,1.0,2.0,3.0,1.0,214,query_3di
A0A1B0GR13,642,4,prefix,4,64,4,4,1.0,3.9845,4.9767,1.0,129,query_3di
A0A1B0GR13,642,4,prefix,4,64,4,8,1.0,7.9306,8.9167,1.0,72,query_3di
A0A1B0GR13,642,4,prefix,4,64,4,12,1.0,11.86,12.84,1.0,50,query_3di
A0A1B0GR13,642,4,prefix,4,64,4,16,1.0,15.9211,16.8947,1.0,38,query_3di
A0A1B0GR13,642,4,prefix,4,64,8,1,1.0,1.0,2.0,1.0,321,query_3di
A0A1B0GR13,642,4,prefix,4,64,8,2,1.0,2.0,3.0,1.0,214,query_3di
A0A1B0GR13,642,4,prefix,4,64,8,4,1.0,3.9845,4.9767,1.0,129,query_3di
A0A1B0GR13,642,4,prefix,4,64,8,8,1.0,7.9306,8.9167,1.0,72,query_3di
A0A1B0GR13,642,4,prefix,4,64,8,12,1.0,11.86,12.84,1.0,50,query_3di
A0A1B0GR13,642,4,prefix,4,64,8,16,1.0,15.9211,16.8947,1.0,38,query_3di
A0A1B0GR13,642,4,prefix,4,64,12,1,1.0,1.0,2.0,1.0,321,query_3di
A0A1B0GR13,642,4,prefix,4,64,12,2,1.0,2.0,3.0,1.0,214,query_3di
A0A1B0GR13,642,4,prefix,4,64,12,4,1.0,3.9845,4.9767,1.0,129,query_3di
A0A1B0GR13,642,4,prefix,4,64,12,8,1.0,7.9306,8.9167,1.0,72,query_3di
A0A1B0GR13,642,4,prefix,4,64,12,12,1.0,11.86,12.84,1.0,50,query_3di
A0A1B0GR13,642,4,prefix,4,64,12,16,1.0,15.9211,16.8947,1.0,38,query_3di
A0A1B0GR13,642,4,prefix,4,64,16,1,1.0,1.0,2.0,1.0,321,query_3di
A0A1B0GR13,642,4,prefix,4,64,16,2,1.0,2.0,3.0,1.0,214,query_3di
A0A1B0GR13,642,4,prefix,4,64,16,4,1.0,3.9845,4.9767,1.0,129,query_3di
A0A1B0GR13,642,4,prefix,4,64,16,8,1.0,7.9306,8.9167,1.0,72,query_3di
A0A1B0GR13,642,4,prefix,4,64,16,12,1.0,11.86,12.84,1.0,50,query_3di
A0A1B0GR13,642,4,prefix,4,64,16,16,1.0,15.9211,16.8947,1.0,38,query_3di
A0A1B0GR13,642,8,static,8,64,,1,1.0,1.0,2.0,1.0,321,query_3di
A0A1B0GR13,642,8,static,8,64,,2,1.0,2.0,3.0,1.0,214,query_3di
A0A1B0GR13,642,8,static,8,64,,4,1.0,3.9845,4.9767,1.0,129,query_3di
A0A1B0GR13,642,8,static,8,64,,8,1.0,7.9306,8.9167,1.0,72,query_3di
A0A1B0GR13,642,8,static,8,64,,12,1.0,11.86,12.84,1.0,50,query_3di
A0A1B0GR13,642,8,static,8,64,,16,1.0,15.9211,16.8947,1.0,38,query_3di
A0A1B0GR13,642,8,prefix,8,64,1,1,1.0,1.0,2.0,1.0,321,query_3di
A0A1B0GR13,642,8,prefix,8,64,1,2,1.0,2.0,3.0,1.0,214,query_3di
A0A1B0GR13,642,8,prefix,8,64,1,4,1.0,3.9845,4.9767,1.0,129,query_3di
A0A1B0GR13,642,8,prefix,8,64,1,8,1.0,7.9306,8.9167,1.0,72,query_3di
A0A1B0GR13,642,8,prefix,8,64,1,12,1.0,11.86,12.84,1.0,50,query_3di
A0A1B0GR13,642,8,prefix,8,64,1,16,1.0,15.9211,16.8947,1.0,38,query_3di
